date,avgcpu,avgmem
1304208600000000,0.1733960363136251,0.3190200900915418
1304208900000000,0.1853332496733284,0.3371714928283533
1304209200000000,0.1798107850103638,0.3058843681489858
1304209500000000,0.3679932780015809,0.3478895281344831
1304209800000000,0.3042997918749342,0.2972730996253818
1304210100000000,0.396344220402137,0.3646762013437006
1304210400000000,0.2868874827350461,0.3856201835422079
1304210700000000,0.175011904179162,0.3643279227253924
1304211000000000,0.1910529002235276,0.4275364378983881
1304211300000000,0.2483446268420018,0.4459865737281951
1304211600000000,0.3086108391099576,0.4820253609239699
1304211900000000,0.2624290558448346,0.4685703817103079
1304212200000000,0.2456626916566537,0.4756447614325663
1304212500000000,0.2007625620832107,0.461343253734416
1304212800000000,0.1741848732831292,0.3961098865724271
1304213100000000,0.1241982848975121,0.3281972998100526
1304213400000000,0.0952315721621984,0.2694635354369725
1304213700000000,0.1061056957313413,0.2713546359274819
1304214000000000,0.108482279685846,0.2745872659836479
1304214300000000,0.0890077364337975,0.2744824552261478
1304214600000000,0.1259778871812338,0.2811908645714047
1304214900000000,0.1652817994292771,0.3186798811104845
1304215200000000,0.1519623769748001,0.3211515236339801
1304215500000000,0.1426715830404959,0.3158263941919963
1304215800000000,0.1764643753434607,0.3184684584065387
1304216100000000,0.1878309245818757,0.3154420070067156
1304216400000000,0.1893213201126506,0.3180618916936391
1304216700000000,0.1403468234562854,0.2956285208695712
1304217000000000,0.131377387580932,0.2813494780655787
1304217300000000,0.1286363613935817,0.2779605756533749
1304217600000000,0.1313055608445122,0.2855979816338183
1304217900000000,0.1111692504850752,0.3031148364371985
1304218200000000,0.1066504350711841,0.2928162110468846
1304218500000000,0.1469552529784103,0.3086893193060724
1304218800000000,0.1820365206015342,0.3707862586638524
1304219100000000,0.1445983438505682,0.3844804130290686
1304219400000000,0.1556086465510032,0.3658064836893366
1304219700000000,0.1598409589658457,0.3483983717694001
1304220000000000,0.1538009044190961,0.3217741402350018
1304220300000000,0.150858615065427,0.3198264460677449
1304220600000000,0.1633974275560167,0.3904503079322992
1304220900000000,0.1505435639190704,0.378182696035394
1304221200000000,0.1370956723800291,0.3578267170428804
1304221500000000,0.1320348283177845,0.3576219117782595
1304221800000000,0.1454973672229174,0.3723980877568995
1304222100000000,0.1325435304311737,0.3906607886819189
1304222400000000,0.1457781092589423,0.4122929688409651
1304222700000000,0.1197378755586619,0.4022849138879198
1304223000000000,0.1380759141770054,0.4018758222349081
1304223300000000,0.1320196763303319,0.3960953771723026
1304223600000000,0.1009422338381332,0.3854974458614415
1304223900000000,0.1572636318559199,0.417666163485431
1304224200000000,0.1255948340054954,0.4392077143370971
1304224500000000,0.1448601578222634,0.4392777862575818
